campaign_id,old_campaign_name,new_campaign_name,adset_id,old_adset_name,new_adset_name,ad_id,old_ad_name,new_ad_name,creative_id,old_creative_name,new_creative_name,format,angle,p_orient,variant,confidence,evidence,spend_3d,MO_3d,CPMO_3d
120249012602590604,Elena Santana - ES - ESP - (pg_22091) - 1,Elena Santana - ES - ESP - (pg_22091) - 1,120249012602560604,Conjunto 01 - VÍDEOS,CJ01 - VID - MIX,120249012602620604,Ad - 1,AD01 - VID - LIMITE_ALTO - NV - 001,1197303312503287,{{product.name}} 2026-06-19-214185636f3d342e636e97bef3664acf,CC_ES_ESP_VID_LIMITE_ALTO_NV_001,VID,LIMITE_ALTO,NV,001,medium,"video title NV + mesmo pacote criativo; texto TARJETA DISPONIBLE; thumbnail é frame intro/gradiente, ângulo inferido pelo conjunto",0,0,
120249012602590604,Elena Santana - ES - ESP - (pg_22091) - 1,Elena Santana - ES - ESP - (pg_22091) - 1,120249012602560604,Conjunto 01 - VÍDEOS,CJ01 - VID - MIX,120249012602640604,Ad - 2,AD02 - VID - LIMITE_ALTO - NV - 002,1908851133129482,{{product.name}} 2026-06-19-b69e5c6b2c525d4426686febfb39c7eb,CC_ES_ESP_VID_LIMITE_ALTO_NV_002,VID,LIMITE_ALTO,NV,002,medium,"video title NV + mesmo pacote criativo; texto TARJETA DISPONIBLE; thumbnail é frame intro/gradiente, ângulo inferido pelo conjunto",0,0,
120249012602590604,Elena Santana - ES - ESP - (pg_22091) - 1,Elena Santana - ES - ESP - (pg_22091) - 1,120249012602560604,Conjunto 01 - VÍDEOS,CJ01 - VID - MIX,120249012602630604,Ad - 3,AD03 - VID - LIMITE_ALTO - NV - 003,1794904598536671,{{product.name}} 2026-06-19-c3d5ea9a49c057cb66e7c58e505537a3,CC_ES_ESP_VID_LIMITE_ALTO_NV_003,VID,LIMITE_ALTO,NV,003,high,thumbnail visual mostra cartão + valor 600/6000 + CTA; texto TARJETA DISPONIBLE; video title NV,0,0,
120249012626090604,Elena Santana - ES - ESP - (pg_22091) - 2,Elena Santana - ES - ESP - (pg_22091) - 2,120249012625790604,Conjunto 01 - VÍDEOS,CJ01 - VID - MIX,120249012626310604,Ad - 1,AD01 - VID - LIMITE_ALTO - NV - 001,1535130498256598,{{product.name}} 2026-06-19-ffd12b079e775af0e6a62e0e9f751497,CC_ES_ESP_VID_LIMITE_ALTO_NV_001,VID,LIMITE_ALTO,NV,001,medium,"video title NV + mesmo pacote criativo; texto TARJETA DISPONIBLE; thumbnail é frame intro/gradiente, ângulo inferido pelo conjunto",0,0,
120249012626090604,Elena Santana - ES - ESP - (pg_22091) - 2,Elena Santana - ES - ESP - (pg_22091) - 2,120249012625790604,Conjunto 01 - VÍDEOS,CJ01 - VID - MIX,120249012625930604,Ad - 2,AD02 - VID - LIMITE_ALTO - NV - 002,934240742967252,{{product.name}} 2026-06-19-46ecf1b5e537d633f4a02ba53fe38c71,CC_ES_ESP_VID_LIMITE_ALTO_NV_002,VID,LIMITE_ALTO,NV,002,medium,"video title NV + mesmo pacote criativo; texto TARJETA DISPONIBLE; thumbnail é frame intro/gradiente, ângulo inferido pelo conjunto",0,0,
120249012626090604,Elena Santana - ES - ESP - (pg_22091) - 2,Elena Santana - ES - ESP - (pg_22091) - 2,120249012625790604,Conjunto 01 - VÍDEOS,CJ01 - VID - MIX,120249012625730604,Ad - 3,AD03 - VID - LIMITE_ALTO - NV - 003,1530566512093888,{{product.name}} 2026-06-19-a93b9be46e3654ceaa30eb1c378d92f1,CC_ES_ESP_VID_LIMITE_ALTO_NV_003,VID,LIMITE_ALTO,NV,003,high,thumbnail visual mostra cartão + valor 600/6000 + CTA; texto TARJETA DISPONIBLE; video title NV,0,0,
120249012625970604,Elena Santana - ES - ESP - (pg_22091) - 3,Elena Santana - ES - ESP - (pg_22091) - 3,120249012625820604,Conjunto 01 - VÍDEOS,CJ01 - VID - MIX,120249012626300604,Ad - 1,AD01 - VID - LIMITE_ALTO - NV - 001,1014857457589588,{{product.name}} 2026-06-19-24dd66abac42e5e774e9c1851e37be4d,CC_ES_ESP_VID_LIMITE_ALTO_NV_001,VID,LIMITE_ALTO,NV,001,medium,"video title NV + mesmo pacote criativo; texto TARJETA DISPONIBLE; thumbnail é frame intro/gradiente, ângulo inferido pelo conjunto",0,0,
120249012625970604,Elena Santana - ES - ESP - (pg_22091) - 3,Elena Santana - ES - ESP - (pg_22091) - 3,120249012625820604,Conjunto 01 - VÍDEOS,CJ01 - VID - MIX,120249012625560604,Ad - 2,AD02 - VID - LIMITE_ALTO - NV - 002,1742400046763877,{{product.name}} 2026-06-19-1bb9f2bd37262472a4ea1a0de6c6dbab,CC_ES_ESP_VID_LIMITE_ALTO_NV_002,VID,LIMITE_ALTO,NV,002,medium,"video title NV + mesmo pacote criativo; texto TARJETA DISPONIBLE; thumbnail é frame intro/gradiente, ângulo inferido pelo conjunto",0,0,
120249012625970604,Elena Santana - ES - ESP - (pg_22091) - 3,Elena Santana - ES - ESP - (pg_22091) - 3,120249012625820604,Conjunto 01 - VÍDEOS,CJ01 - VID - MIX,120249012625720604,Ad - 3,AD03 - VID - LIMITE_ALTO - NV - 003,1632315641189467,{{product.name}} 2026-06-19-203f822f6fc464aea5fea4dcb6876abf,CC_ES_ESP_VID_LIMITE_ALTO_NV_003,VID,LIMITE_ALTO,NV,003,high,thumbnail visual mostra cartão + valor 600/6000 + CTA; texto TARJETA DISPONIBLE; video title NV,0,0,
120249012626130604,Elena Santana - ES - ESP - (pg_22091) - 4,Elena Santana - ES - ESP - (pg_22091) - 4,120249012625440604,Conjunto 01 - VÍDEOS,CJ01 - VID - MIX,120249012626350604,Ad - 1,AD01 - VID - LIMITE_ALTO - NV - 001,4478023552431899,{{product.name}} 2026-06-19-845ee3b4573d13982ff16654d34227ce,CC_ES_ESP_VID_LIMITE_ALTO_NV_001,VID,LIMITE_ALTO,NV,001,medium,"video title NV + mesmo pacote criativo; texto TARJETA DISPONIBLE; thumbnail é frame intro/gradiente, ângulo inferido pelo conjunto",0,0,
