Data,Gasto,Receita,Lucro,Margem %
2026-06-16,8346.909999999998,13644.596940002826,5297.686940002828,0.634688398461566
2026-06-17,14196.929999999998,15187.221263851736,990.2912638517373,0.06975390199513117
2026-06-18,16727.980000000003,18102.10931298236,1374.129312982357,0.0821455616866087
2026-06-19,13096.230000000001,16004.873722272234,2908.6437222722325,0.2220977886210178
2026-06-20,16014.91,15308.117269892653,-706.7927301073469,-0.04413341880206301
2026-06-21,17726.05,15980.427977844276,-1745.6220221557232,-0.09847777830682658
2026-06-22,11165.230000000001,11365.474058534468,200.2440585344666,0.017934611157536976
2026-06-23,8599.940000000002,12720.194272692148,4120.254272692146,0.4791026766107839
2026-06-24,7360.039999999999,12702.366579856316,5342.326579856317,0.7258556447867562
2026-06-25,5256.67,6232.857919942635,976.1879199426348,0.185704622877722
2026-06-26,4504.46,2526.070758584473,-1978.389241415527,-0.43920675095694645
2026-06-27,4414.26,2294.648846215867,-2119.6111537841334,-0.4801736086646761
2026-06-28,5637.23,3135.605552785249,-2501.6244472147505,-0.44376838397843454
2026-06-29,4857.26,3136.2400816610575,-1721.0199183389427,-0.35431908490361697
