source_drive_id,source_relative_path,current_filename,reason
1cgzcy3ZvMANsqlzyADh2q57U-JO_l1uZ,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_VID_APROBACION_NV_001.mp4,CC_US_EN_VID_APROBACION_NV_001.mp4,VERTICAL_REVIEW
1N_oggMG5ahqYFe1JrFXHJazf8m-2yoFN,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_EN_VID_APROBACION_PV_001.mp4,CC_US_EN_VID_APROBACION_PV_001.mp4,VERTICAL_REVIEW
1HuX-VyV36bTr_7vRfbtzg3nABD8mOvve,UPLOAD_CANVAS/TESTE_NOMENCLATURA_ARES_6_CRIATIVOS/CC_US_ES_VID_URGENCIA_NV_001.mp4,CC_US_ES_VID_URGENCIA_NV_001.mp4,VERTICAL_REVIEW
15XNxyXlTqgdW0A8QzyqMY15m89uiCMUw,UPLOAD_CANVAS/cartao de credito/imagens/feed/01 Trabalho - Feed ingles__DAGfGtgkYJU.png,01 Trabalho - Feed ingles__DAGfGtgkYJU.png,VISUAL_REVIEW_REMAINING
1HOb586eCcsew8dmjC4kPBnTu8DhjKD1l,UPLOAD_CANVAS/cartao de credito/imagens/feed/02 Trabalho - Feed ingles__DAGfGwnNh0w.png,02 Trabalho - Feed ingles__DAGfGwnNh0w.png,VISUAL_REVIEW_REMAINING
1wQ1b9uDCtGCDgFEfUBqyHMT7mIiE2CJl,UPLOAD_CANVAS/cartao de credito/imagens/feed/03 Trabalho - Feed ingles__DAGfG0b0n7g.png,03 Trabalho - Feed ingles__DAGfG0b0n7g.png,VISUAL_REVIEW_REMAINING
1TOlULnGmvFL8l_NoUodoeF-x38lyBBcg,UPLOAD_CANVAS/cartao de credito/imagens/feed/04 Trabalho - Feed ingles__DAGfGuoEqjE.png,04 Trabalho - Feed ingles__DAGfGuoEqjE.png,VISUAL_REVIEW_REMAINING
18eeGmUDJUINupUY5sljyPxju8Vyf7HJ0,UPLOAD_CANVAS/cartao de credito/imagens/feed/05 Trabalho - Feed ingles__DAGfHBBYyZo.png,05 Trabalho - Feed ingles__DAGfHBBYyZo.png,VISUAL_REVIEW_REMAINING
1sJYM7jQKWwJTtGz134BZ8yhDXR3WWEiL,UPLOAD_CANVAS/cartao de credito/imagens/feed/Design sem nome__DAG-EMxacUY.png,Design sem nome__DAG-EMxacUY.png,VISUAL_REVIEW_REMAINING
1RbVx1lflCX7EM4kvbK1SywaXSZiiQNs-,UPLOAD_CANVAS/cartao de credito/imagens/stories/106 - Story espanhol__DAHDPXOl1zk.png,106 - Story espanhol__DAHDPXOl1zk.png,VISUAL_REVIEW_REMAINING
