source_drive_id,source_filename,group_md5,disposition,representative_source_drive_id,destination_filename,angle,product_type,claim,person,p_orient,variant
1gwxd2lxNW2INZjL9nYbb5duMYf8KlA03,3_84 US_SHEIN_EN_06-09  - CABANA (INGLES) .mp4,2a4ac1119e5bace46ba33412df6a9def,UNIQUE_READY_SOURCE,1gwxd2lxNW2INZjL9nYbb5duMYf8KlA03,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_001.mp4,FREE_CAMPING_TENT,CAMPING_TENT,FREE CAMPING TENT,PERSON,PV,001
1MeU09QLM_QlxX35avziXreIFNWHBH3SF,4_81 US_SHEIN_EN_06-09  - CABANA (INGLES) .mp4,82bc5ebc97c6467fc156c91350e2786b,UNIQUE_READY_SOURCE,1MeU09QLM_QlxX35avziXreIFNWHBH3SF,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_002.mp4,FREE_CAMPING_TENT,CAMPING_TENT,FREE CAMPING TENT,PERSON,PV,002
1yI5tbVdIaRm9Zriq9MfLw4wuldhriAwg,5_85 US_SHEIN_EN_06-09  - CABANA (INGLES) .mp4,4a38e08538b1ab7cb8347634bfb28ece,UNIQUE_READY_SOURCE,1yI5tbVdIaRm9Zriq9MfLw4wuldhriAwg,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_003.mp4,FREE_CAMPING_TENT,CAMPING_TENT,FREE CAMPING TENT,PERSON,PV,003
183oubVEvoiFRjHSurfhnmV43st9wIDUz,8_86 US_SHEIN_EN_06-09  - CABANA (INGLES) .mp4,0657198f5252f819ff622c7e7d6f77af,UNIQUE_READY_SOURCE,183oubVEvoiFRjHSurfhnmV43st9wIDUz,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_004.mp4,FREE_CAMPING_TENT,CAMPING_TENT,FREE CAMPING TENT,PERSON,PV,004
1_vDihjs3IUL0BRI0qmf3o6YRG1n_jT8j,9_83 US_SHEIN_EN_06-09  - CABANA (INGLES) .mp4,09e63010c65a81fb4b455e631a8b8e3a,UNIQUE_READY_SOURCE,1_vDihjs3IUL0BRI0qmf3o6YRG1n_jT8j,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_005.mp4,FREE_CAMPING_TENT,CAMPING_TENT,FREE CAMPING TENT,PERSON,PV,005
1261MwK3fHaOIIquF0CKFfUKIcJitXjrs,12_82 US_SHEIN_EN_06-09  - CABANA (INGLES) .mp4,1cece19a2afd72ad202eab1bb0a328b2,UNIQUE_READY_SOURCE,1261MwK3fHaOIIquF0CKFfUKIcJitXjrs,SHEIN_US_EN_VID_FREE_CAMPING_TENT_PV_006.mp4,FREE_CAMPING_TENT,CAMPING_TENT,FREE CAMPING TENT,PERSON,PV,006
1Goo9FpNK4KA7QQHECvhHPDYvVVIGIskX,5_77 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,61470e03637898ae1e80fd5ad14bf6ea,UNIQUE_READY_SOURCE,1Goo9FpNK4KA7QQHECvhHPDYvVVIGIskX,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_001.mp4,FREE_POWER_BANK,POWER_BANK,FREE POWER BANK,PERSON,PV,001
1_kblYLtt3-jmw8hqZ1W1WucWFavK9HMk,5_77 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,61470e03637898ae1e80fd5ad14bf6ea,EXACT_DUPLICATE_SOURCE_ALIAS,1Goo9FpNK4KA7QQHECvhHPDYvVVIGIskX,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_001.mp4,FREE_POWER_BANK,POWER_BANK,FREE POWER BANK,PERSON,PV,001
1Sw4JOOdBZCFqc95Yi8dneSxov0AlMdTW,7_76 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,1a3877124cad4385823abb49ae0d86d4,UNIQUE_READY_SOURCE,1Sw4JOOdBZCFqc95Yi8dneSxov0AlMdTW,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_002.mp4,FREE_POWER_BANK,POWER_BANK,FREE POWER BANK,PERSON,PV,002
1TC5PJaAf8LLgfBQ1l0r7L3DCgRJEo-2A,9_75 US_SHEIN_EN_06-09  - CARREGADOR PORTATIL (INGLES) .mp4,cb5d4f2ae79b551df504470af164afeb,UNIQUE_READY_SOURCE,1TC5PJaAf8LLgfBQ1l0r7L3DCgRJEo-2A,SHEIN_US_EN_VID_FREE_POWER_BANK_PV_003.mp4,FREE_POWER_BANK,POWER_BANK,FREE POWER BANK,PERSON,PV,003
