kind,source_filename,nested_drive_id,canonical_source_drive_id,destination_filename,destination_drive_id,source_final_status,destination_status,metadata_clean,notes
NEW_PROCESSED,1_44 - IA - Story Financiamento (Brasil).mp4,1ZsJd7KJVkcvSR6L4c6vxmG1AGMIRODGO,1ZsJd7KJVkcvSR6L4c6vxmG1AGMIRODGO,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_024.mp4,1VVV0xyfsyYjOGcoJSIWaz8MTZD-psUi7,99_LEGACY,01_READY,True,R$299/MÊS; SEM ENTRADA; APRESENTADOR E VOLKSWAGEN
NEW_PROCESSED,2_16 - IA - Story Financiamento (Brasil).mp4,1VKJ683fk5pihWtWyHtYGdHubUVZHxyEx,1VKJ683fk5pihWtWyHtYGdHubUVZHxyEx,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_025.mp4,1mjDx9PB19g0sxtf4S3oHEDdlosk4x6DT,99_LEGACY,01_READY,True,FINANCIAMENTO; APRESENTADOR E VOLKSWAGEN; CTA SAIBA MAIS
NEW_PROCESSED,3_43 - IA - Story Financiamento (Brasil).mp4,1dJl0-eFc_mOq8-DM6HurkrHWmGqPDs19,1dJl0-eFc_mOq8-DM6HurkrHWmGqPDs19,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_026.mp4,1hF6CDje4gGckMdgVuAvWrbqy2lB22PDE,99_LEGACY,01_READY,True,FINANCIAMENTO; APRESENTADOR E VOLKSWAGEN
NEW_PROCESSED,4_49 - IA - Story Financiamento (Brasil).mp4,1t7P1CEAXjOrP7uoDsw5QX5hXBhHUWSFA,1t7P1CEAXjOrP7uoDsw5QX5hXBhHUWSFA,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_027.mp4,1KBqPPPk4euMCnFg3H4ll0Hm7M-lvW2bx,99_LEGACY,01_READY,True,R$299/MÊS; SEM ENTRADA
NEW_PROCESSED,5_47 - IA - Story Financiamento (Brasil).mp4,1VcFNFJ6V6QbZuAVw9jSylfApGzjSNuQT,1VcFNFJ6V6QbZuAVw9jSylfApGzjSNuQT,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_028.mp4,1NV_HmUqOYZFVBRaXoI1eo5WbYl03fQh_,99_LEGACY,01_READY,True,R$299/MÊS; SEM ENTRADA
NEW_PROCESSED,6_45 - IA - Story Financiamento (Brasil).mp4,1NOCC7Sqk_AFoCfyxCLIpmUqWQg2e-Su0,1NOCC7Sqk_AFoCfyxCLIpmUqWQg2e-Su0,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_029.mp4,1VzN22Cdby2mfPVYAKVLzKcw6F3b1g2xY,99_LEGACY,01_READY,True,R$299/MÊS; SEM ENTRADA
NEW_PROCESSED,7_42 - IA - Story Financiamento (Brasil).mp4,1CTe6fZotaSk00dgJ-d_3dtb6Eb-taT4o,1CTe6fZotaSk00dgJ-d_3dtb6Eb-taT4o,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_030.mp4,1nvj3nwLQOm4PhgDg6qIlpdtvW-L7oKGC,99_LEGACY,01_READY,True,R$299/MÊS; SEM ENTRADA
NEW_PROCESSED,8_17 - IA - Story Financiamento (Brasil).mp4,1PVK1lDuC-l8RByPzdBAcel3Rmui3MLA9,1PVK1lDuC-l8RByPzdBAcel3Rmui3MLA9,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_031.mp4,1wmSuXpdlxsm2Z1ABUpovELsh9V9ku3tb,99_LEGACY,01_READY,True,R$299/MÊS; SEM ENTRADA
NEW_PROCESSED,9_48 - IA - Story Financiamento (Brasil).mp4,1HlMQeeWtPABDQ1G073tajpO8cnRF5H_x,1HlMQeeWtPABDQ1G073tajpO8cnRF5H_x,CAR_BR_BR_VID_SCORE_BAIXO_PV_002.mp4,11sClgNljgKC_6L5eiqEx1Lgr5KmcJiWs,99_LEGACY,01_READY,True,NEGATIVADO; PARCELAS; R$299/MÊS; SEM ENTRADA
NEW_PROCESSED,10_18 - IA - Story Financiamento (Brasil).mp4,1TpoIwaYRCKyR_mlOYcx94ZjCiLy8asbH,1TpoIwaYRCKyR_mlOYcx94ZjCiLy8asbH,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_032.mp4,1ZhD358gfyWHQVeuGR2Bzny2AIgnr69by,99_LEGACY,01_READY,True,R$299/MÊS; SEM ENTRADA
NEW_PROCESSED,11_41 - IA - Story Financiamento (Brasil).mp4,1ODyVwwBOOCW67ueFYNgIOaw0YiNE4aMc,1ODyVwwBOOCW67ueFYNgIOaw0YiNE4aMc,CAR_BR_BR_VID_FINANCIAMENTO_SEM_ENTRADA_PV_033.mp4,17ca8xU3Em7AnxAPAgGJtc37d6WUXEA-g,99_LEGACY,01_READY,True,R$299/MÊS; SEM ENTRADA
