domain,article_type,sitemap_rec_classification,country,vertical,product_guess,product_slug,slug,url,reference_p1_url,html_title,h1,lastmod,http_status,image_urls,source_sitemap,fetch_error
financeadx.com,REC_sitemap_slug,REC,ar,cc,Tarjeta Banco Sabadell,tarjeta-banco-sabadell,rec-ar-cc-tarjeta-banco-sabadell,https://financeadx.com/rec-ar-cc-tarjeta-banco-sabadell/,https://financeadx.com/rec-ar-cc-tarjeta-de-credito-banco-sabadell/,Banco Sabadell Tarjeta de Crédito - Finance Adx,Banco Sabadell Tarjeta de Crédito,2026-01-16T14:08:04+00:00,200,https://financeadx.com/wp-content/uploads/2024/07/image-5.png,https://financeadx.com/post-sitemap.xml,
financeadx.com,REC_sitemap_slug,REC,ar,cc,Tarjeta Bancofar,tarjeta-bancofar,rec-ar-cc-tarjeta-bancofar,https://financeadx.com/rec-ar-cc-tarjeta-bancofar/,https://financeadx.com/tarjeta-de-credito-ar-bancofar/,Tarjeta de crédito Bancofar - Finance Adx,Tarjeta de crédito Bancofar,2026-03-03T16:09:54+00:00,200,https://financeadx.com/wp-content/uploads/2024/07/ofissional-1-scaled-e1756139914503.png,https://financeadx.com/post-sitemap.xml,
financeadx.com,REC_sitemap_slug,REC,ar,cc,Tarjeta Cencosud,tarjeta-cencosud,rec-ar-cc-tarjeta-cencosud,https://financeadx.com/rec-ar-cc-tarjeta-cencosud/,https://financeadx.com/tarjeta-de-credito-ar-cencosud/,Tarjeta de Crédito Cencosud - Finance Adx,Tarjeta de Crédito Cencosud,2026-01-16T14:07:39+00:00,200,https://financeadx.com/wp-content/uploads/2024/08/Tarjeta-de-Credito-Cencosud.webp | https://financeadx.com/wp-content/uploads/2024/08/Tarjeta-de-Credito-Cencosud.webp,https://financeadx.com/post-sitemap.xml,
financeadx.com,REC_sitemap_slug,P1-like,ar,cc,Tarjeta De Credito Banco Sabadell,tarjeta-de-credito-banco-sabadell,rec-ar-cc-tarjeta-de-credito-banco-sabadell,https://financeadx.com/rec-ar-cc-tarjeta-de-credito-banco-sabadell/,https://financeadx.com/como-solicitar-us-cc-bbva-tarjeta-peugeot/,Cómo aplicar para Banco Sabadell Tarjeta de Crédito - Finance Adx,Cómo aplicar para Banco Sabadell Tarjeta de Crédito,2026-03-03T16:09:57+00:00,200,https://financeadx.com/wp-content/uploads/2024/07/image-5.png | https://financeadx.com/wp-content/uploads/2024/07/sabadell-scaled.jpg,https://financeadx.com/post-sitemap.xml,
financeadx.com,REC_sitemap_slug,REC,ar,cc,Tarjeta Deutsche Bank,tarjeta-deutsche-bank,rec-ar-cc-tarjeta-deutsche-bank,https://financeadx.com/rec-ar-cc-tarjeta-deutsche-bank/,https://financeadx.com/tarjeta-de-credito-ar-deutsche-bank/,Tarjeta de crédito Deutsche Bank - Finance Adx,Tarjeta de crédito Deutsche Bank,2026-01-16T14:07:52+00:00,200,https://financeadx.com/wp-content/uploads/2024/07/image-13.png | https://financeadx.com/wp-content/uploads/2024/07/image-12.png,https://financeadx.com/post-sitemap.xml,
financeadx.com,REC_sitemap_slug,REC,ar,cc,Tarjeta Exito,tarjeta-exito,rec-ar-cc-tarjeta-exito,https://financeadx.com/rec-ar-cc-tarjeta-exito/,https://financeadx.com/tarjeta-de-credito-ar-exito/,Tarjeta de Credito Exito - Finance Adx,Tarjeta de Credito Exito,2026-01-16T14:07:44+00:00,200,https://financeadx.com/wp-content/uploads/2024/08/tarjeta-exito-basica_1.png | https://financeadx.com/wp-content/uploads/2024/08/tarjeta-exito-basica_1.png,https://financeadx.com/post-sitemap.xml,
financeadx.com,REC_sitemap_slug,REC,ar,cc,Tarjeta Kutxabank,tarjeta-kutxabank,rec-ar-cc-tarjeta-kutxabank,https://financeadx.com/rec-ar-cc-tarjeta-kutxabank/,https://financeadx.com/tarjeta-de-credito-ar-kutxabank/,Tarjeta de Crédito Kutxabank - Finance Adx,Tarjeta de Crédito Kutxabank,2026-01-16T14:08:00+00:00,200,https://financeadx.com/wp-content/uploads/2024/07/image-7.png | https://financeadx.com/wp-content/uploads/2024/07/image-6.png,https://financeadx.com/post-sitemap.xml,
financeadx.com,REC_sitemap_slug,REC,ar,cc,Tarjeta Oca,tarjeta-oca,rec-ar-cc-tarjeta-oca,https://financeadx.com/rec-ar-cc-tarjeta-oca/,https://financeadx.com/tarjeta-de-credito-ar-oca/,Tarjeta de Crédito OCA - Finance Adx,Tarjeta de Crédito OCA,2026-01-16T14:07:37+00:00,200,https://financeadx.com/wp-content/uploads/2024/09/image-1.png | https://financeadx.com/wp-content/uploads/2024/09/image.png,https://financeadx.com/post-sitemap.xml,
financeadx.com,REC_sitemap_slug,REC,ar,prestamo,Afluenta Credito Humano,afluenta-credito-humano,rec-ar-prestamo-afluenta-credito-humano,https://financeadx.com/rec-ar-prestamo-afluenta-credito-humano/,https://financeadx.com/prestamo-ar-afluenta-credito-humano/,Afluenta Crédito Humano - Finance Adx,Afluenta Crédito Humano,2024-08-08T20:23:38+00:00,200,,https://financeadx.com/post-sitemap.xml,
financeadx.com,REC_sitemap_slug,REC,ar,prestamo,Bbva,bbva,rec-ar-prestamo-bbva,https://financeadx.com/rec-ar-prestamo-bbva/,https://financeadx.com/prestamo-ar-bbva/,BBVA Préstamo - Finance Adx,BBVA Préstamo,2024-08-08T20:23:55+00:00,200,,https://financeadx.com/post-sitemap.xml,
