source_drive_id,source_filename,status,source_path,destination_path,destination_drive_id,destination_filename
1e9qBPQTNJDu4hj1HKiUDCw6iuFZeMUdj,1_196 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1L1q6EppReIaVZeSMcEWcWLC0FytUosW5,CAR_BR_BR_VID_SEM_ENTRADA_PV_037.mp4
1jie8owkMCQqFsZhgH3D2-ItxSBb-TCgR,1_200 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1hsAicxBtf_YHdu9BCOY6mPVpCshV15Ed,CAR_BR_BR_VID_SCORE_BAIXO_PV_016.mp4
1Q1Ix6fsfmErZGFpYqy5yEMarT_9DisNp,2_191 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1BtSFChV8lv4wnopOl1Jg0FU9BA0FMw4V,CAR_BR_BR_VID_SEM_ENTRADA_PV_038.mp4
1KwYtvwk3B1jJmGV2lKxOpKmUnlVXzx8M,2_202 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1qe1ogypoZSVJHBc2gqhiim8d5_U0NMH1,CAR_BR_BR_VID_SCORE_BAIXO_PV_017.mp4
1Yiu3um2thoXAwuur582_W3nZxf3YrLsp,3_189 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1_x3XuICdoTM6TLegSdJGrT0h94eka9v1,CAR_BR_BR_VID_SEM_ENTRADA_PV_039.mp4
1DAVmNE3RaCVOHk9TV9ARynmBU0rE5aRf,3_206 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1cLxFs1oDkdU7p5pQnqUvgZFiKao-U54A,CAR_BR_BR_VID_SEM_ENTRADA_PV_040.mp4
1U9whxigkug0N6iFoNoOnKDQz08BqlWsO,4_198 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1fdjP5hNPZly3oy4Dla--5gfO9KEngr9Z,CAR_BR_BR_VID_SCORE_BAIXO_PV_018.mp4
1b4KnDAVVUEcM1CS50KQXa-NKExYBU4XO,4_207 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1YRfjSNiC6Kx7cEk1_zzh8D5zIzyfuAwI,CAR_BR_BR_VID_SEM_ENTRADA_PV_041.mp4
1abjAk1mX-21f5MisNGLI_9MYBBKLhMIC,5_188 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1qy3L6VctDLC3L_Cl6Otl8c6AkbW-rY0g,CAR_BR_BR_VID_SEM_ENTRADA_PV_042.mp4
1r5eOMc74OUoAuMXfKt4ftEGSilRuOCAo,5_201 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,1oclFo_s0lfKRxBGQHYr7uMpWI82-uP88,CAR_BR_BR_VID_SCORE_BAIXO_PV_019.mp4
15q4z_sSftYrHaWJ3naq1mojR8cIxuhA1,6_184 - Story Financiamento (Brasil).mp4,MOVED_TO_99_LEGACY,MGS-AGENTS/CRIATIVOS/UPLOAD MANUAL,MGS-AGENTS/CRIATIVOS/CAR_BR_BR/VID/99_LEGACY,17zmaD40l-DNvKBJ8sWvEub18e48O3Inz,CAR_BR_BR_VID_SEM_ENTRADA_PV_043.mp4
